activation,model_type,corruption_mode,p,repeats,mean_test_accuracy,std_test_accuracy,stderr_test_accuracy,mean_test_loss,std_test_loss,stderr_test_loss
gelu,mlp,binary_replacement,0.0,100,0.977716,0.0012714338362651925,0.00012714338362651925,0.12447992308778683,0.009140734771397171,0.0009140734771397171
gelu,mlp,binary_replacement,0.05,100,0.980251,0.001289456862403704,0.0001289456862403704,0.09031294568965113,0.0072758394848021655,0.0007275839484802165
gelu,mlp,binary_replacement,0.1,100,0.983052,0.0009106569057554187,9.106569057554187e-05,0.06919218802910669,0.004935460285191946,0.0004935460285191946
gelu,mlp,binary_replacement,0.15000000000000002,100,0.982227,0.001388441932527242,0.0001388441932527242,0.07017087806935947,0.007430758593511873,0.0007430758593511874
gelu,mlp,binary_replacement,0.2,100,0.981291,0.0013085178638444317,0.00013085178638444316,0.06829305682399904,0.005203870035956185,0.0005203870035956186
gelu,mlp,binary_replacement,0.25,100,0.980245,0.0012751764583774053,0.00012751764583774052,0.07342649280145436,0.004699161393397486,0.0004699161393397486
gelu,mlp,binary_replacement,0.30000000000000004,100,0.978831,0.0014750386435615826,0.00014750386435615826,0.07754232137102655,0.005858030004054069,0.0005858030004054069
gelu,mlp,binary_replacement,0.35000000000000003,100,0.977132,0.0019674287788888152,0.0001967428778888815,0.08187074963310371,0.007250930112784022,0.0007250930112784022
gelu,mlp,binary_replacement,0.4,100,0.975538,0.0015430994783227725,0.00015430994783227725,0.08988556539194081,0.0074293723061705855,0.0007429372306170586
gelu,mlp,binary_replacement,0.45,100,0.973721,0.0015086613271373995,0.00015086613271373994,0.0968195820099045,0.004850598903487609,0.0004850598903487609
gelu,mlp,binary_replacement,0.5,100,0.969689,0.0015358968064293945,0.00015358968064293945,0.11572126628103199,0.0064580625954690695,0.0006458062595469069
gelu,mlp,binary_replacement,0.55,100,0.963961,0.001847533220269686,0.00018475332202696858,0.13956003453372187,0.0074021164096560975,0.0007402116409656097
gelu,mlp,binary_replacement,0.6000000000000001,100,0.957771,0.0017877524996486624,0.00017877524996486624,0.17214791332531906,0.008141193328335291,0.000814119332833529
gelu,mlp,binary_replacement,0.65,100,0.940814,0.01386105349531557,0.001386105349531557,0.2760147010133192,0.13370588685810028,0.013370588685810028
gelu,mlp,binary_replacement,0.7000000000000001,100,0.892071,0.03287906110277481,0.003287906110277481,1.2957295866225809,1.410439525461565,0.14104395254615648
gelu,mlp,binary_replacement,0.75,100,0.832828,0.021301451030387577,0.0021301451030387576,2.85041371687901,1.625430732088147,0.1625430732088147
gelu,mlp,binary_replacement,0.8,100,0.790969,0.017913624395973028,0.001791362439597303,4.471759190536499,2.0977022328260873,0.20977022328260872
gelu,mlp,binary_replacement,0.8500000000000001,100,0.751535,0.02152108907560209,0.002152108907560209,2.8269340043888094,1.6720197118048044,0.16720197118048044
gelu,mlp,binary_replacement,0.9,100,0.718852,0.022776735850424227,0.0022776735850424225,1.073963656832695,0.18106973018664022,0.01810697301866402
gelu,mlp,binary_replacement,0.9500000000000001,100,0.574738,0.07895929429775825,0.007895929429775825,1.553648657842636,0.13393031008540732,0.013393031008540732
gelu,mlp,binary_replacement,1.0,100,0.1135,0.0,0.0,2.3009190253219605,0.0010989732294226266,0.00010989732294226266
relu,mlp,binary_replacement,0.0,100,0.97558,0.0010166612021710992,0.00010166612021710992,0.14205794355848333,0.014613611494457297,0.0014613611494457297
relu,mlp,binary_replacement,0.05,100,0.98062,0.0012734205903785277,0.00012734205903785277,0.08456867409889288,0.005895463201535175,0.0005895463201535174
relu,mlp,binary_replacement,0.1,100,0.98236,0.0008957678270623575,8.957678270623575e-05,0.07147334619696423,0.0038763649331625574,0.00038763649331625575
relu,mlp,binary_replacement,0.15000000000000002,100,0.982021,0.0012592295263374352,0.00012592295263374353,0.06961597627639657,0.005129480591116892,0.0005129480591116892
relu,mlp,binary_replacement,0.2,100,0.980562,0.0008979732735443893,8.979732735443893e-05,0.07504558940657705,0.003459968111203353,0.0003459968111203353
relu,mlp,binary_replacement,0.25,100,0.980598,0.0009250924278146307,9.250924278146307e-05,0.07129385572786424,0.0034398169640452833,0.0003439816964045283
relu,mlp,binary_replacement,0.30000000000000004,100,0.97887,0.0014953594885511628,0.0001495359488551163,0.07686036324726389,0.006062939181515071,0.0006062939181515071
relu,mlp,binary_replacement,0.35000000000000003,100,0.975042,0.0016119665008925913,0.00016119665008925912,0.0897981338198827,0.005808793299071953,0.0005808793299071954
relu,mlp,binary_replacement,0.4,100,0.975336,0.001383005422982845,0.0001383005422982845,0.0922016360092462,0.004157515643066139,0.0004157515643066139
relu,mlp,binary_replacement,0.45,100,0.972292,0.0010629844777794394,0.00010629844777794393,0.10738183966237412,0.005482323807839895,0.0005482323807839895
relu,mlp,binary_replacement,0.5,100,0.968318,0.0013528769345361679,0.0001352876934536168,0.12460590112619219,0.005821738954930534,0.0005821738954930534
relu,mlp,binary_replacement,0.55,100,0.963932,0.0009168293189029277,9.168293189029276e-05,0.1463187042807867,0.004580160536463187,0.0004580160536463187
relu,mlp,binary_replacement,0.6000000000000001,100,0.95628,0.0024131307465613894,0.00024131307465613894,0.18650445276950858,0.014765382984753507,0.0014765382984753507
relu,mlp,binary_replacement,0.65,100,0.944495,0.0028643105627707143,0.0002864310562770714,0.22927816133507342,0.010622023717026186,0.0010622023717026187
relu,mlp,binary_replacement,0.7000000000000001,100,0.930819,0.002442486233328666,0.00024424862333286663,0.2722452989593819,0.007847427470785236,0.0007847427470785236
relu,mlp,binary_replacement,0.75,100,0.905342,0.006958407576450256,0.0006958407576450256,0.33364175263038276,0.028684326582856814,0.0028684326582856814
relu,mlp,binary_replacement,0.8,100,0.863695,0.008278373934535704,0.0008278373934535704,0.4404634184598923,0.025936404423963333,0.0025936404423963335
relu,mlp,binary_replacement,0.8500000000000001,100,0.816717,0.012416731091555477,0.0012416731091555477,0.5478760751714706,0.02520594431830542,0.002520594431830542
relu,mlp,binary_replacement,0.9,100,0.770735,0.008785924823261336,0.0008785924823261337,0.7464004128236771,0.032602293663360614,0.0032602293663360612
relu,mlp,binary_replacement,0.9500000000000001,100,0.333429,0.09852930558468379,0.009852930558468379,1.8985915545978547,0.16476646382408613,0.016476646382408613
relu,mlp,binary_replacement,1.0,100,0.1135,0.0,0.0,2.3008737114448548,0.0002577981775406624,2.577981775406624e-05
sigmoid,mlp,binary_replacement,0.0,100,0.975471,0.0008427686515289927,8.427686515289926e-05,0.10877530798193283,0.005351047800402664,0.0005351047800402663
sigmoid,mlp,binary_replacement,0.05,100,0.978302,0.0012857666973444396,0.00012857666973444397,0.07955688957463461,0.004881696405024899,0.00048816964050248985
sigmoid,mlp,binary_replacement,0.1,100,0.977043,0.0011446619588332467,0.00011446619588332467,0.08196538623699476,0.005308923866067821,0.0005308923866067821
sigmoid,mlp,binary_replacement,0.15000000000000002,100,0.972857,0.0012784564912424578,0.00012784564912424578,0.0919658468125076,0.003553062520684936,0.00035530625206849363
sigmoid,mlp,binary_replacement,0.2,100,0.965223,0.0033689421188260304,0.00033689421188260306,0.11513191798873246,0.011053998555710041,0.0011053998555710042
sigmoid,mlp,binary_replacement,0.25,100,0.957279,0.004621326541156757,0.00046213265411567566,0.14103393908538298,0.01558523626485324,0.0015585236264853241
sigmoid,mlp,binary_replacement,0.30000000000000004,100,0.952134,0.005210647176695019,0.000521064717669502,0.1543940905512087,0.014949094280034214,0.0014949094280034213
sigmoid,mlp,binary_replacement,0.35000000000000003,100,0.938125,0.008351938397761327,0.0008351938397761327,0.19958950858754665,0.025982448731714496,0.0025982448731714496
sigmoid,mlp,binary_replacement,0.4,100,0.929168,0.005547411648688063,0.0005547411648688063,0.2284441128370166,0.018819749657433583,0.0018819749657433583
sigmoid,mlp,binary_replacement,0.45,100,0.920602,0.006085704232050707,0.0006085704232050707,0.2530191766475141,0.01650623785216325,0.001650623785216325
sigmoid,mlp,binary_replacement,0.5,100,0.903111,0.006029625112724671,0.0006029625112724671,0.3063784766524732,0.01703955558569255,0.0017039555585692551
sigmoid,mlp,binary_replacement,0.55,100,0.889767,0.007560714979418281,0.0007560714979418282,0.34900821709793806,0.022159490974207253,0.002215949097420725
sigmoid,mlp,binary_replacement,0.6000000000000001,100,0.869691,0.006620847302271815,0.0006620847302271815,0.40959797352695465,0.01829291599082799,0.0018292915990827988
sigmoid,mlp,binary_replacement,0.65,100,0.845805,0.019452873181101043,0.0019452873181101042,0.471831122633934,0.05404060080494221,0.005404060080494221
sigmoid,mlp,binary_replacement,0.7000000000000001,100,0.821964,0.00921137904984917,0.000921137904984917,0.5472689669940471,0.026153982457266998,0.0026153982457267
sigmoid,mlp,binary_replacement,0.75,100,0.8007810000000001,0.011377501439244021,0.0011377501439244022,0.6167634661374092,0.02923729754521284,0.002923729754521284
sigmoid,mlp,binary_replacement,0.8,100,0.764704,0.009508395448234166,0.0009508395448234166,0.7321709520549774,0.017617009422480946,0.0017617009422480946
sigmoid,mlp,binary_replacement,0.8500000000000001,100,0.750066,0.011780961081337988,0.0011780961081337988,0.8068170705356598,0.026202526745408326,0.0026202526745408325
sigmoid,mlp,binary_replacement,0.9,100,0.744049,0.01029926691565957,0.001029926691565957,0.9508790671434403,0.021448148949836317,0.0021448148949836316
sigmoid,mlp,binary_replacement,0.9500000000000001,100,0.712014,0.014259446132301231,0.001425944613230123,1.4275196204166412,0.041564084821081766,0.004156408482108177
sigmoid,mlp,binary_replacement,1.0,100,0.1135,0.0,0.0,2.3007862956314087,0.0001095023750902685,1.095023750902685e-05
tanh,mlp,binary_replacement,0.0,100,0.977252,0.0028106753636804142,0.0002810675363680414,0.10088371802000846,0.013259346893899734,0.0013259346893899735
tanh,mlp,binary_replacement,0.05,100,0.979048,0.0008577272293684163,8.577272293684162e-05,0.07709533067468212,0.002318541474138599,0.0002318541474138599
tanh,mlp,binary_replacement,0.1,100,0.979752,0.0014631117523962423,0.00014631117523962423,0.07191482969824219,0.003790367164675015,0.0003790367164675015
tanh,mlp,binary_replacement,0.15000000000000002,100,0.975828,0.0010480534337523133,0.00010480534337523134,0.08169402695125318,0.004796906344267402,0.0004796906344267402
tanh,mlp,binary_replacement,0.2,100,0.974272,0.00121384348249682,0.00012138434824968201,0.08608025066051725,0.003716754720870704,0.0003716754720870704
tanh,mlp,binary_replacement,0.25,100,0.9708060000000001,0.0011413868756911462,0.00011413868756911462,0.09515973959400505,0.00423805862584155,0.000423805862584155
tanh,mlp,binary_replacement,0.30000000000000004,100,0.965143,0.0021120726786737344,0.00021120726786737345,0.11272270820152759,0.00794718233167292,0.000794718233167292
tanh,mlp,binary_replacement,0.35000000000000003,100,0.960614,0.0029104989263011058,0.0002910498926301106,0.1271569501792863,0.007729823059403466,0.0007729823059403466
tanh,mlp,binary_replacement,0.4,100,0.954253,0.0018462099013925911,0.0001846209901392591,0.14840876726768165,0.007301595369688127,0.0007301595369688127
tanh,mlp,binary_replacement,0.45,100,0.945153,0.0028980495164851712,0.0002898049516485171,0.18016598273812234,0.009913859538399105,0.0009913859538399105
tanh,mlp,binary_replacement,0.5,100,0.935004,0.0021929395796510182,0.00021929395796510182,0.21515376722493768,0.0071159690041372224,0.0007115969004137222
tanh,mlp,binary_replacement,0.55,100,0.9185490000000001,0.005347606847927387,0.0005347606847927387,0.2688908934980631,0.016352728848056133,0.0016352728848056132
tanh,mlp,binary_replacement,0.6000000000000001,100,0.904452,0.006008135817372985,0.0006008135817372985,0.31548862554848195,0.017620413246190854,0.0017620413246190853
tanh,mlp,binary_replacement,0.65,100,0.882736,0.00541515503009838,0.000541515503009838,0.3791242704230547,0.01619890659701009,0.001619890659701009
tanh,mlp,binary_replacement,0.7000000000000001,100,0.862313,0.005601118727540073,0.0005601118727540073,0.45112048773622515,0.009978310331628003,0.0009978310331628004
tanh,mlp,binary_replacement,0.75,100,0.837551,0.0054554833882984165,0.0005455483388298417,0.5356133572473526,0.007215325853818296,0.0007215325853818296
tanh,mlp,binary_replacement,0.8,100,0.800564,0.009193623007280641,0.0009193623007280642,0.6580462565994263,0.011741107263039698,0.0011741107263039698
tanh,mlp,binary_replacement,0.8500000000000001,100,0.767688,0.009743031150519832,0.0009743031150519832,0.8636096289234161,0.019205071854846163,0.0019205071854846163
tanh,mlp,binary_replacement,0.9,100,0.74837,0.010875490793522851,0.001087549079352285,1.20488043731308,0.019390262115674708,0.0019390262115674707
tanh,mlp,binary_replacement,0.9500000000000001,100,0.679148,0.02701181030586437,0.002701181030586437,1.7316170079860687,0.013317035783109003,0.0013317035783109003
tanh,mlp,binary_replacement,1.0,100,0.119572,0.011591549335615146,0.0011591549335615147,2.3052253867645263,0.005705268159342477,0.0005705268159342477
